order_id,tanggal,kategori,kota,unit_terjual,harga_satuan,metode_pembayaran
ORD-1000,2026-07-05T00:00:00.000000,Elektronik,Magelang,8,250000,Kartu Kredit
ORD-1001,2026-07-08T00:00:00.000000,Rumah Tangga,Solo,5,250000,E-Wallet
ORD-1002,2026-07-27T00:00:00.000000,Kesehatan & Kecantikan,Semarang,9,250000,Kartu Kredit
ORD-1003,2026-07-31T00:00:00.000000,Rumah Tangga,Yogyakarta,5,500000,E-Wallet
ORD-1004,2026-07-28T00:00:00.000000,Rumah Tangga,Solo,5,250000,Transfer Bank
ORD-1005,2026-07-15T00:00:00.000000,Kesehatan & Kecantikan,Magelang,7,75000,COD
ORD-1006,2026-07-28T00:00:00.000000,Fashion,Purworejo,7,150000,Kartu Kredit
ORD-1007,2026-07-23T00:00:00.000000,Makanan & Minuman,Solo,3,150000,Transfer Bank
ORD-1008,2026-07-04T00:00:00.000000,Elektronik,Semarang,3,150000,Transfer Bank
ORD-1009,2026-07-31T00:00:00.000000,Kesehatan & Kecantikan,Purworejo,4,50000,COD
ORD-1010,2026-07-29T00:00:00.000000,Elektronik,Solo,3,250000,COD
ORD-1011,2026-07-08T00:00:00.000000,Makanan & Minuman,Magelang,1,250000,Transfer Bank
ORD-1012,2026-07-22T00:00:00.000000,Elektronik,Magelang,9,75000,Transfer Bank
ORD-1013,2026-07-29T00:00:00.000000,Makanan & Minuman,Magelang,2,100000,E-Wallet
ORD-1014,2026-07-21T00:00:00.000000,Fashion,Purworejo,1,50000,E-Wallet
ORD-1015,2026-07-04T00:00:00.000000,Rumah Tangga,Yogyakarta,3,150000,Transfer Bank
ORD-1016,2026-07-15T00:00:00.000000,Rumah Tangga,Purworejo,8,250000,E-Wallet
ORD-1017,2026-07-28T00:00:00.000000,Makanan & Minuman,Magelang,6,500000,E-Wallet
ORD-1018,2026-07-13T00:00:00.000000,Elektronik,Semarang,4,150000,Kartu Kredit
ORD-1019,2026-07-01T00:00:00.000000,Fashion,Semarang,5,50000,Kartu Kredit
ORD-1020,2026-07-16T00:00:00.000000,Makanan & Minuman,Yogyakarta,1,100000,E-Wallet
ORD-1021,2026-07-15T00:00:00.000000,Fashion,Purworejo,9,100000,Transfer Bank
ORD-1022,2026-07-31T00:00:00.000000,Elektronik,Semarang,9,150000,Transfer Bank
ORD-1023,2026-07-18T00:00:00.000000,Rumah Tangga,Solo,3,25000,E-Wallet
ORD-1024,2026-07-13T00:00:00.000000,Makanan & Minuman,Yogyakarta,8,25000,Transfer Bank
ORD-1025,2026-07-30T00:00:00.000000,Rumah Tangga,Yogyakarta,1,25000,Kartu Kredit
